source	target	weight
fîlman	fîlmê	4.770685
fîlman	fîlmên	4.770685
fîlman	rola	4.770685
fîlmê	fîlmên	4.770685
fîlmê	rola	4.770685
fîlmên	rola	4.770685
hûn	nake	4.077537
hûn	ne	3.384390
nake	ne	4.077537
nake	te	2.824774
nake	tu	3.161247
ne	te	2.131627
ne	tu	2.468100
dev	dibêjin	4.770685
dev	jê	4.770685
dev	jêr	4.770685
dev	re	3.672072
dibêjin	jê	4.770685
dibêjin	jêr	4.770685
dibêjin	re	3.672072
jê	jêr	4.770685
jê	re	3.672072
jêr	re	3.672072
estê	grand	3.384390
estê	meurthe	3.672072
estê	meuse	3.672072
estê	rojhilata	3.672072
grand	meurthe	3.384390
grand	meuse	3.384390
grand	rojhilata	3.384390
meurthe	meuse	4.770685
meurthe	rojhilata	4.077537
meuse	rojhilata	4.077537
alpes	alpesê	4.770685
alpes	auvergne	4.770685
alpes	provence	4.770685
alpes	rhône	4.770685
alpesê	auvergne	4.770685
alpesê	provence	4.770685
alpesê	rhône	4.770685
auvergne	provence	4.770685
auvergne	rhône	4.770685
provence	rhône	4.770685
veşêre	şêr	4.770685
veşêre	şêrko	4.770685
veşêre	şêrê	4.770685
veşêre	şêx	4.770685
şêr	şêrko	4.770685
şêr	şêrê	4.770685
şêr	şêx	4.770685
şêrko	şêrê	4.770685
şêrko	şêx	4.770685
şêrê	şêx	4.770685
dijî	hêzên	4.770685
dijî	yê	4.770685
dijî	şerê	4.077537
dijî	şerên	4.770685
hêzên	yê	4.770685
hêzên	şerê	4.077537
hêzên	şerên	4.770685
yê	şerê	4.077537
yê	şerên	4.770685
şerê	şerên	4.077537
1920	de	3.384390
1920	heya	4.770685
1920	sala	2.978925
1920	şerê	4.077537
de	heya	3.384390
de	şerê	2.691243
heya	sala	2.978925
heya	şerê	4.077537
sala	şerê	2.285778
bû	pişta	4.770685
bû	qetiyaye	4.770685
bû	wî	3.672072
bû	xwe	3.672072
pişta	qetiyaye	4.770685
pişta	wî	3.672072
pişta	xwe	3.672072
qetiyaye	wî	3.672072
qetiyaye	xwe	3.672072
wî	xwe	2.573460
dike	dilê	4.077537
dike	ew	3.672072
dike	heyranê	4.770685
dike	wî	3.672072
dilê	ew	2.978925
dilê	heyranê	4.077537
dilê	wî	2.978925
ew	heyranê	3.672072
ew	wî	2.573460
heyranê	wî	3.672072
2021an	2022an	4.770685
2021an	de	3.384390
2021an	di	3.672072
2021an	sala	2.978925
2022an	de	3.384390
2022an	di	3.672072
2022an	sala	2.978925
de	salên	3.384390
de	zengî	3.384390
di	salên	3.672072
di	zengî	3.672072
sala	salên	2.978925
sala	zengî	2.978925
salên	zengî	4.770685
başûrê	hewlêrê	4.077537
başûrê	kurdistanê	3.384390
başûrê	navçeya	2.691243
başûrê	parêzgeha	3.384390
hewlêrê	kurdistanê	4.077537
hewlêrê	navçeya	3.384390
hewlêrê	parêzgeha	4.077537
kurdistanê	navçeya	2.691243
kurdistanê	parêzgeha	3.384390
navçeya	parêzgeha	2.691243
reng	rengekî	4.770685
reng	rengê	4.770685
reng	rengên	4.770685
reng	rengîn	4.770685
rengekî	rengê	4.770685
rengekî	rengên	4.770685
rengekî	rengîn	4.770685
rengê	rengên	4.770685
rengê	rengîn	4.770685
rengên	rengîn	4.770685
demokrat	partiya	4.770685
demokrat	partiyê	4.770685
demokrat	sala	2.978925
demokrat	siyasî	4.770685
partiya	partiyê	4.770685
partiya	sala	2.978925
partiya	siyasî	4.770685
partiyê	sala	2.978925
partiyê	siyasî	4.770685
sala	siyasî	2.978925
calvados	departemeta	4.770685
calvados	eureyê	4.770685
calvados	normandiya	4.770685
calvados	normandîyê	4.770685
departemeta	eureyê	4.770685
departemeta	normandiya	4.770685
departemeta	normandîyê	4.770685
eureyê	normandiya	4.770685
eureyê	normandîyê	4.770685
normandiya	normandîyê	4.770685
caran	gelek	4.770685
caran	hene	4.077537
caran	hestî	4.770685
caran	xelatên	4.770685
gelek	hene	4.077537
gelek	hestî	4.770685
gelek	xelatên	4.770685
hene	hestî	4.077537
hene	xelatên	4.077537
hestî	xelatên	4.770685
rûsya	rûsyayê	4.770685
rûsya	rûsî	4.770685
rûsya	sovyet	4.770685
rûsya	ukraynayê	4.770685
rûsyayê	rûsî	4.770685
rûsyayê	sovyet	4.770685
rûsyayê	ukraynayê	4.770685
rûsî	sovyet	4.770685
rûsî	ukraynayê	4.770685
sovyet	ukraynayê	4.770685
evîn	havîn	4.770685
evîn	navîn	4.770685
evîn	payîz	4.770685
evîn	payîzê	4.770685
havîn	navîn	4.770685
havîn	payîz	4.770685
havîn	payîzê	4.770685
navîn	payîz	4.770685
navîn	payîzê	4.770685
payîz	payîzê	4.770685
re	zarok	3.672072
re	zarokan	3.672072
re	zarokê	3.672072
re	zarokên	2.978925
zarok	zarokan	4.770685
zarok	zarokê	4.770685
zarok	zarokên	4.077537
zarokan	zarokê	4.770685
zarokan	zarokên	4.077537
zarokê	zarokên	4.077537
bajarî	daneyên	4.770685
bajarî	digehêje	4.770685
bajarî	kesî	4.770685
bajarî	niştecihên	4.770685
daneyên	digehêje	4.770685
daneyên	kesî	4.770685
daneyên	niştecihên	4.770685
digehêje	kesî	4.770685
digehêje	niştecihên	4.770685
kesî	niştecihên	4.770685
bakurê	departmena	3.672072
bakurê	komuneke	3.672072
bakurê	marne	2.978925
bakurê	oisa	3.672072
departmena	komuneke	4.077537
departmena	marne	3.384390
departmena	oisa	4.077537
komuneke	marne	4.077537
komuneke	oisa	4.770685
marne	oisa	4.077537
00	roj	4.770685
00	rojan	4.770685
00	saet	4.770685
00	tu	3.161247
roj	rojan	4.770685
roj	saet	4.770685
roj	tu	3.161247
rojan	saet	4.770685
rojan	tu	3.161247
saet	tu	3.161247
hemoglobînê	nav	4.077537
hemoglobînê	xwîn	4.770685
hemoglobînê	xwîna	4.770685
hemoglobînê	xwînê	4.770685
nav	xwîn	4.077537
nav	xwîna	4.077537
nav	xwînê	4.077537
xwîn	xwîna	4.770685
xwîn	xwînê	4.770685
xwîna	xwînê	4.770685
aquitaine	charente	3.672072
aquitaine	landes	3.672072
aquitaine	nouvelle	3.672072
aquitaine	rojavayê	3.266607
charente	landes	4.770685
charente	nouvelle	3.672072
charente	rojavayê	3.672072
landes	nouvelle	3.672072
landes	rojavayê	3.672072
nouvelle	rojavayê	3.266607
biderengî	birçî	4.770685
biderengî	demeke	4.770685
biderengî	nêz	4.770685
biderengî	şîva	4.770685
birçî	demeke	4.770685
birçî	nêz	4.770685
birçî	şîva	4.770685
demeke	nêz	4.770685
demeke	şîva	4.770685
nêz	şîva	4.770685
herî	mezin	4.077537
herî	mezine	4.077537
herî	mezintir	4.077537
herî	zilma	4.077537
mezin	mezine	4.077537
mezin	mezintir	4.077537
mezin	zilma	4.077537
mezine	mezintir	4.770685
mezine	zilma	4.770685
mezintir	zilma	4.770685
dayîk	muzîkê	4.770685
dayîk	pisîk	4.770685
dayîk	pisîkên	4.770685
dayîk	würzburg	4.770685
muzîkê	pisîk	4.770685
muzîkê	pisîkên	4.770685
muzîkê	würzburg	4.770685
pisîk	pisîkên	4.770685
pisîk	würzburg	4.770685
pisîkên	würzburg	4.770685
ajotiye	bike	4.770685
ajotiye	coupé	4.770685
ajotiye	min	2.824774
ajotiye	otobus	4.770685
bike	coupé	4.770685
bike	min	2.824774
bike	otobus	4.770685
coupé	min	2.824774
coupé	otobus	4.770685
min	otobus	2.824774
dertêm	ez	3.384390
dertêm	herim	4.770685
dertêm	mala	4.770685
dertêm	malê	4.770685
ez	herim	3.384390
ez	mala	3.384390
ez	malê	3.384390
herim	mala	4.770685
herim	malê	4.770685
mala	malê	4.770685
goştê	serdeştê	4.770685
goştê	taştê	4.770685
goştê	tiştê	4.770685
goştê	şaristana	4.770685
serdeştê	taştê	4.770685
serdeştê	tiştê	4.770685
serdeştê	şaristana	4.770685
taştê	tiştê	4.770685
taştê	şaristana	4.770685
tiştê	şaristana	4.770685
birûsk	ewran	4.770685
birûsk	ewrên	4.770685
birûsk	qîjandina	4.770685
birûsk	xort	4.770685
ewran	ewrên	4.770685
ewran	qîjandina	4.770685
ewran	xort	4.770685
ewrên	qîjandina	4.770685
ewrên	xort	4.770685
qîjandina	xort	4.770685
esta	goleke	4.770685
esta	marney	4.770685
esta	norwêcê	4.770685
esta	sinorê	4.770685
goleke	marney	4.770685
goleke	norwêcê	4.770685
goleke	sinorê	4.770685
marney	norwêcê	4.770685
marney	sinorê	4.770685
norwêcê	sinorê	4.770685
html	malpera	4.077537
html	televîzyonê	4.770685
html	tv	4.077537
html	înternetê	4.770685
malpera	televîzyonê	4.077537
malpera	tv	4.077537
malpera	înternetê	4.077537
televîzyonê	tv	4.077537
televîzyonê	înternetê	4.770685
tv	înternetê	4.077537
be	dilê	4.077537
be	hincik	4.770685
be	te	2.824774
be	wê	3.672072
dilê	hincik	4.077537
dilê	te	2.131627
dilê	wê	2.978925
hincik	te	2.824774
hincik	wê	3.672072
te	wê	1.726162
beniya	ermenî	4.770685
beniya	tirkiyeyê	4.770685
beniya	tirkî	4.077537
beniya	zimanê	3.672072
ermenî	tirkiyeyê	4.770685
ermenî	tirkî	4.077537
ermenî	zimanê	3.672072
tirkiyeyê	tirkî	4.077537
tirkiyeyê	zimanê	3.672072
tirkî	zimanê	2.978925
diya	wê	3.672072
diya	zaroka	4.770685
diya	zarokên	4.077537
diya	zewicî	4.770685
wê	zaroka	3.672072
wê	zarokên	2.978925
wê	zewicî	3.672072
zaroka	zarokên	4.077537
zaroka	zewicî	4.770685
zarokên	zewicî	4.077537
seqizê	sêv	4.770685
seqizê	sêva	4.770685
seqizê	sêwasê	4.770685
seqizê	zêwye	4.770685
sêv	sêva	4.770685
sêv	sêwasê	4.770685
sêv	zêwye	4.770685
sêva	sêwasê	4.770685
sêva	zêwye	4.770685
sêwasê	zêwye	4.770685
gul	gîha	4.770685
gul	kulîlk	4.770685
gul	kulîlkan	4.770685
gul	kulîlkên	4.770685
gîha	kulîlk	4.770685
gîha	kulîlkan	4.770685
gîha	kulîlkên	4.770685
kulîlk	kulîlkan	4.770685
kulîlk	kulîlkên	4.770685
kulîlkan	kulîlkên	4.770685
dibim	stockholmê	4.770685
dibim	swêd	4.770685
dibim	swêdê	4.770685
dibim	swêdî	4.770685
stockholmê	swêd	4.770685
stockholmê	swêdê	4.770685
stockholmê	swêdî	4.770685
swêd	swêdê	4.770685
swêd	swêdî	4.770685
swêdê	swêdî	4.770685
39	41	4.770685
39	49	4.770685
39	63	4.770685
39	64	4.770685
41	49	4.770685
41	63	4.770685
41	64	4.770685
49	63	4.770685
49	64	4.770685
63	64	4.770685
centre	indre	4.770685
centre	komunên	3.384390
centre	loireyê	4.770685
centre	val	4.770685
indre	komunên	3.384390
indre	loireyê	4.770685
indre	val	4.770685
komunên	loireyê	3.384390
komunên	val	3.384390
loireyê	val	4.770685
gundekî	semsûrê	4.077537
gundekî	tirkî	3.384390
gundekî	xarpêtê	4.077537
navçeya	semsûrê	3.384390
navçeya	tirkî	2.691243
navçeya	xarpêtê	3.384390
semsûrê	tirkî	4.077537
semsûrê	xarpêtê	4.770685
tirkî	xarpêtê	4.077537
20	40	4.770685
20	bîst	4.770685
20	depê	4.770685
20	lîstik	4.770685
40	bîst	4.770685
40	depê	4.770685
40	lîstik	4.770685
bîst	depê	4.770685
bîst	lîstik	4.770685
depê	lîstik	4.770685
bakteriyan	bakteriyê	4.770685
bakteriyan	bakteriyên	4.770685
bakteriyan	bakterî	4.770685
bakteriyan	coli	4.770685
bakteriyê	bakteriyên	4.770685
bakteriyê	bakterî	4.770685
bakteriyê	coli	4.770685
bakteriyên	bakterî	4.770685
bakteriyên	coli	4.770685
bakterî	coli	4.770685
aştiyê	hemwelatiyê	4.770685
aştiyê	hestiyê	4.770685
aştiyê	mesîhîtiyê	4.770685
aştiyê	yekîtiyê	4.770685
hemwelatiyê	hestiyê	4.770685
hemwelatiyê	mesîhîtiyê	4.770685
hemwelatiyê	yekîtiyê	4.770685
hestiyê	mesîhîtiyê	4.770685
hestiyê	yekîtiyê	4.770685
mesîhîtiyê	yekîtiyê	4.770685
komara	komarê	4.770685
komara	komarên	4.770685
komara	mehabadê	4.770685
komara	sosyalîst	4.770685
